probe,face,x,y,z,Cp
0,Sotavento,0.06409,0.00156,0.01000,-0.46297
1,Sotavento,0.06409,0.00156,0.03000,-0.47999
2,Sotavento,0.06409,0.00156,0.05000,-0.49602
3,Sotavento,0.06409,0.00156,0.07000,-0.47943
4,Sotavento,0.06409,0.00156,0.09000,-0.46080
5,Sotavento,0.06409,0.00156,0.11000,-0.43059
6,Sotavento,0.06409,0.00156,0.13000,-0.38533
7,Sotavento,0.06409,0.00156,0.15000,-0.34080
8,Sotavento,0.06409,0.00156,0.17000,-0.30438
9,Sotavento,0.06409,0.00156,0.19000,-0.28202
10,Sotavento,0.06409,0.00156,0.21000,-0.27687
11,Sotavento,0.06409,0.00156,0.23000,-0.28856
12,Sotavento,0.06409,0.00156,0.25000,-0.31344
13,Sotavento,0.06409,0.00156,0.27000,-0.34686
14,Sotavento,0.06409,0.00156,0.29000,-0.38456
15,Sotavento,0.06409,0.00156,0.31000,-0.42226
16,Sotavento,0.06409,0.00156,0.33000,-0.45243
17,Sotavento,0.06409,0.00156,0.35000,-0.46812
18,Sotavento,0.06409,0.00156,0.37000,-0.46201
19,Sotavento,0.06409,0.00156,0.39000,-0.44995
20,Sotavento,0.05123,0.01688,0.01000,-0.46678
21,Sotavento,0.05123,0.01688,0.03000,-0.48421
22,Sotavento,0.05123,0.01688,0.05000,-0.49580
23,Sotavento,0.05123,0.01688,0.07000,-0.48501
24,Sotavento,0.05123,0.01688,0.09000,-0.46645
25,Sotavento,0.05123,0.01688,0.11000,-0.44082
26,Sotavento,0.05123,0.01688,0.13000,-0.40780
27,Sotavento,0.05123,0.01688,0.15000,-0.37521
28,Sotavento,0.05123,0.01688,0.17000,-0.34861
29,Sotavento,0.05123,0.01688,0.19000,-0.33247
30,Sotavento,0.05123,0.01688,0.21000,-0.32983
31,Sotavento,0.05123,0.01688,0.23000,-0.34062
32,Sotavento,0.05123,0.01688,0.25000,-0.36223
33,Sotavento,0.05123,0.01688,0.27000,-0.39011
34,Sotavento,0.05123,0.01688,0.29000,-0.41929
35,Sotavento,0.05123,0.01688,0.31000,-0.44448
36,Sotavento,0.05123,0.01688,0.33000,-0.46032
37,Sotavento,0.05123,0.01688,0.35000,-0.46126
38,Sotavento,0.05123,0.01688,0.37000,-0.44507
39,Sotavento,0.05123,0.01688,0.39000,-0.43487
40,Sotavento,0.03838,0.03220,0.01000,-0.45321
41,Sotavento,0.03838,0.03220,0.03000,-0.46061
42,Sotavento,0.03838,0.03220,0.05000,-0.47332
43,Sotavento,0.03838,0.03220,0.07000,-0.47399
44,Sotavento,0.03838,0.03220,0.09000,-0.46115
45,Sotavento,0.03838,0.03220,0.11000,-0.43991
46,Sotavento,0.03838,0.03220,0.13000,-0.41394
47,Sotavento,0.03838,0.03220,0.15000,-0.38814
48,Sotavento,0.03838,0.03220,0.17000,-0.36704
49,Sotavento,0.03838,0.03220,0.19000,-0.35430
50,Sotavento,0.03838,0.03220,0.21000,-0.35281
51,Sotavento,0.03838,0.03220,0.23000,-0.36281
52,Sotavento,0.03838,0.03220,0.25000,-0.38141
53,Sotavento,0.03838,0.03220,0.27000,-0.40466
54,Sotavento,0.03838,0.03220,0.29000,-0.42794
55,Sotavento,0.03838,0.03220,0.31000,-0.44635
56,Sotavento,0.03838,0.03220,0.33000,-0.45525
57,Sotavento,0.03838,0.03220,0.35000,-0.45012
58,Sotavento,0.03838,0.03220,0.37000,-0.43090
59,Sotavento,0.03838,0.03220,0.39000,-0.42430
60,Sotavento,0.02552,0.04752,0.01000,-0.43270
61,Sotavento,0.02552,0.04752,0.03000,-0.44735
62,Sotavento,0.02552,0.04752,0.05000,-0.45774
63,Sotavento,0.02552,0.04752,0.07000,-0.46222
64,Sotavento,0.02552,0.04752,0.09000,-0.45193
65,Sotavento,0.02552,0.04752,0.11000,-0.43218
66,Sotavento,0.02552,0.04752,0.13000,-0.40749
67,Sotavento,0.02552,0.04752,0.15000,-0.38269
68,Sotavento,0.02552,0.04752,0.17000,-0.36239
69,Sotavento,0.02552,0.04752,0.19000,-0.35011
70,Sotavento,0.02552,0.04752,0.21000,-0.34834
71,Sotavento,0.02552,0.04752,0.23000,-0.35743
72,Sotavento,0.02552,0.04752,0.25000,-0.37461
73,Sotavento,0.02552,0.04752,0.27000,-0.39624
74,Sotavento,0.02552,0.04752,0.29000,-0.41772
75,Sotavento,0.02552,0.04752,0.31000,-0.43427
76,Sotavento,0.02552,0.04752,0.33000,-0.44140
77,Sotavento,0.02552,0.04752,0.35000,-0.43322
78,Sotavento,0.02552,0.04752,0.37000,-0.42100
79,Sotavento,0.02552,0.04752,0.39000,-0.41652
80,Sotavento,0.01267,0.06285,0.01000,-0.41774
81,Sotavento,0.01267,0.06285,0.03000,-0.44124
82,Sotavento,0.01267,0.06285,0.05000,-0.44978
83,Sotavento,0.01267,0.06285,0.07000,-0.45142
84,Sotavento,0.01267,0.06285,0.09000,-0.43877
85,Sotavento,0.01267,0.06285,0.11000,-0.41611
86,Sotavento,0.01267,0.06285,0.13000,-0.38850
87,Sotavento,0.01267,0.06285,0.15000,-0.36122
88,Sotavento,0.01267,0.06285,0.17000,-0.33892
89,Sotavento,0.01267,0.06285,0.19000,-0.32507
90,Sotavento,0.01267,0.06285,0.21000,-0.32254
91,Sotavento,0.01267,0.06285,0.23000,-0.33171
92,Sotavento,0.01267,0.06285,0.25000,-0.34987
93,Sotavento,0.01267,0.06285,0.27000,-0.37281
94,Sotavento,0.01267,0.06285,0.29000,-0.39603
95,Sotavento,0.01267,0.06285,0.31000,-0.41484
96,Sotavento,0.01267,0.06285,0.33000,-0.42490
97,Sotavento,0.01267,0.06285,0.35000,-0.42368
98,Sotavento,0.01267,0.06285,0.37000,-0.41566
99,Sotavento,0.01267,0.06285,0.39000,-0.40193
100,Barlovento,-0.01267,-0.06285,0.01000,-0.00087
101,Barlovento,-0.01267,-0.06285,0.03000,-0.04637
102,Barlovento,-0.01267,-0.06285,0.05000,-0.04535
103,Barlovento,-0.01267,-0.06285,0.07000,0.00204
104,Barlovento,-0.01267,-0.06285,0.09000,0.02610
