probe,face,x,y,z,Cp
94,Sotavento,0.04642,0.04421,0.29000,-0.36018
95,Sotavento,0.04642,0.04421,0.31000,-0.37407
96,Sotavento,0.04642,0.04421,0.33000,-0.38521
97,Sotavento,0.04642,0.04421,0.35000,-0.38962
98,Sotavento,0.04642,0.04421,0.37000,-0.38224
99,Sotavento,0.04642,0.04421,0.39000,-0.36598
100,Barlovento,-0.04642,-0.04421,0.01000,0.26144
101,Barlovento,-0.04642,-0.04421,0.03000,0.23856
102,Barlovento,-0.04642,-0.04421,0.05000,0.30140
103,Barlovento,-0.04642,-0.04421,0.07000,0.34143
104,Barlovento,-0.04642,-0.04421,0.09000,0.38034
105,Barlovento,-0.04642,-0.04421,0.11000,0.41448
106,Barlovento,-0.04642,-0.04421,0.13000,0.44512
107,Barlovento,-0.04642,-0.04421,0.15000,0.47320
108,Barlovento,-0.04642,-0.04421,0.17000,0.49925
109,Barlovento,-0.04642,-0.04421,0.19000,0.52340
110,Barlovento,-0.04642,-0.04421,0.21000,0.54569
111,Barlovento,-0.04642,-0.04421,0.23000,0.56627
112,Barlovento,-0.04642,-0.04421,0.25000,0.58547
113,Barlovento,-0.04642,-0.04421,0.27000,0.60358
114,Barlovento,-0.04642,-0.04421,0.29000,0.62107
115,Barlovento,-0.04642,-0.04421,0.31000,0.63820
116,Barlovento,-0.04642,-0.04421,0.33000,0.65499
117,Barlovento,-0.04642,-0.04421,0.35000,0.66491
118,Barlovento,-0.04642,-0.04421,0.37000,0.67073
119,Barlovento,-0.04642,-0.04421,0.39000,0.60118
120,Barlovento,-0.04817,-0.02429,0.01000,0.48983
121,Barlovento,-0.04817,-0.02429,0.03000,0.42826
122,Barlovento,-0.04817,-0.02429,0.05000,0.46225
123,Barlovento,-0.04817,-0.02429,0.07000,0.51324
124,Barlovento,-0.04817,-0.02429,0.09000,0.56138
125,Barlovento,-0.04817,-0.02429,0.11000,0.60511
126,Barlovento,-0.04817,-0.02429,0.13000,0.64466
127,Barlovento,-0.04817,-0.02429,0.15000,0.68065
128,Barlovento,-0.04817,-0.02429,0.17000,0.71395
129,Barlovento,-0.04817,-0.02429,0.19000,0.74473
130,Barlovento,-0.04817,-0.02429,0.21000,0.77334
131,Barlovento,-0.04817,-0.02429,0.23000,0.79993
132,Barlovento,-0.04817,-0.02429,0.25000,0.82476
133,Barlovento,-0.04817,-0.02429,0.27000,0.84776
134,Barlovento,-0.04817,-0.02429,0.29000,0.86886
135,Barlovento,-0.04817,-0.02429,0.31000,0.88737
136,Barlovento,-0.04817,-0.02429,0.33000,0.90160
137,Barlovento,-0.04817,-0.02429,0.35000,0.90622
138,Barlovento,-0.04817,-0.02429,0.37000,0.88414
139,Barlovento,-0.04817,-0.02429,0.39000,0.70302
140,Barlovento,-0.04991,-0.00437,0.01000,0.53637
141,Barlovento,-0.04991,-0.00437,0.03000,0.46967
142,Barlovento,-0.04991,-0.00437,0.05000,0.50381
143,Barlovento,-0.04991,-0.00437,0.07000,0.55548
144,Barlovento,-0.04991,-0.00437,0.09000,0.60632
145,Barlovento,-0.04991,-0.00437,0.11000,0.65290
146,Barlovento,-0.04991,-0.00437,0.13000,0.69515
147,Barlovento,-0.04991,-0.00437,0.15000,0.73366
148,Barlovento,-0.04991,-0.00437,0.17000,0.76904
149,Barlovento,-0.04991,-0.00437,0.19000,0.80177
150,Barlovento,-0.04991,-0.00437,0.21000,0.83218
151,Barlovento,-0.04991,-0.00437,0.23000,0.86050
152,Barlovento,-0.04991,-0.00437,0.25000,0.88685
153,Barlovento,-0.04991,-0.00437,0.27000,0.91121
154,Barlovento,-0.04991,-0.00437,0.29000,0.93325
155,Barlovento,-0.04991,-0.00437,0.31000,0.95198
156,Barlovento,-0.04991,-0.00437,0.33000,0.96506
157,Barlovento,-0.04991,-0.00437,0.35000,0.96572
158,Barlovento,-0.04991,-0.00437,0.37000,0.93024
159,Barlovento,-0.04991,-0.00437,0.39000,0.72837
160,Barlovento,-0.05165,0.01556,0.01000,0.49869
161,Barlovento,-0.05165,0.01556,0.03000,0.43833
162,Barlovento,-0.05165,0.01556,0.05000,0.48112
163,Barlovento,-0.05165,0.01556,0.07000,0.53674
164,Barlovento,-0.05165,0.01556,0.09000,0.58834
165,Barlovento,-0.05165,0.01556,0.11000,0.63463
166,Barlovento,-0.05165,0.01556,0.13000,0.67628
167,Barlovento,-0.05165,0.01556,0.15000,0.71413
168,Barlovento,-0.05165,0.01556,0.17000,0.74889
169,Barlovento,-0.05165,0.01556,0.19000,0.78106
170,Barlovento,-0.05165,0.01556,0.21000,0.81103
171,Barlovento,-0.05165,0.01556,0.23000,0.83910
172,Barlovento,-0.05165,0.01556,0.25000,0.86549
173,Barlovento,-0.05165,0.01556,0.27000,0.89025
174,Barlovento,-0.05165,0.01556,0.29000,0.91314
175,Barlovento,-0.05165,0.01556,0.31000,0.93343
176,Barlovento,-0.05165,0.01556,0.33000,0.94930
177,Barlovento,-0.05165,0.01556,0.35000,0.95500
178,Barlovento,-0.05165,0.01556,0.37000,0.92975
179,Barlovento,-0.05165,0.01556,0.39000,0.74335
180,Barlovento,-0.05340,0.03548,0.01000,0.28026
181,Barlovento,-0.05340,0.03548,0.03000,0.27492
182,Barlovento,-0.05340,0.03548,0.05000,0.34354
183,Barlovento,-0.05340,0.03548,0.07000,0.38562
184,Barlovento,-0.05340,0.03548,0.09000,0.43002
185,Barlovento,-0.05340,0.03548,0.11000,0.46825
186,Barlovento,-0.05340,0.03548,0.13000,0.50232
187,Barlovento,-0.05340,0.03548,0.15000,0.53309
188,Barlovento,-0.05340,0.03548,0.17000,0.56131
189,Barlovento,-0.05340,0.03548,0.19000,0.58729
190,Barlovento,-0.05340,0.03548,0.21000,0.61159
191,Barlovento,-0.05340,0.03548,0.23000,0.63486
192,Barlovento,-0.05340,0.03548,0.25000,0.65778
193,Barlovento,-0.05340,0.03548,0.27000,0.68061
194,Barlovento,-0.05340,0.03548,0.29000,0.70324
