probe,face,x,y,z,Cp
0,Sotavento,0.06339,-0.00959,0.01000,-0.45958
1,Sotavento,0.06339,-0.00959,0.03000,-0.46913
2,Sotavento,0.06339,-0.00959,0.05000,-0.46449
3,Sotavento,0.06339,-0.00959,0.07000,-0.45259
4,Sotavento,0.06339,-0.00959,0.09000,-0.43582
5,Sotavento,0.06339,-0.00959,0.11000,-0.40681
6,Sotavento,0.06339,-0.00959,0.13000,-0.36582
7,Sotavento,0.06339,-0.00959,0.15000,-0.32223
8,Sotavento,0.06339,-0.00959,0.17000,-0.28506
9,Sotavento,0.06339,-0.00959,0.19000,-0.26050
10,Sotavento,0.06339,-0.00959,0.21000,-0.25241
11,Sotavento,0.06339,-0.00959,0.23000,-0.26085
12,Sotavento,0.06339,-0.00959,0.25000,-0.28283
13,Sotavento,0.06339,-0.00959,0.27000,-0.31414
14,Sotavento,0.06339,-0.00959,0.29000,-0.35126
15,Sotavento,0.06339,-0.00959,0.31000,-0.38983
16,Sotavento,0.06339,-0.00959,0.33000,-0.42627
17,Sotavento,0.06339,-0.00959,0.35000,-0.44970
18,Sotavento,0.06339,-0.00959,0.37000,-0.45369
19,Sotavento,0.06339,-0.00959,0.39000,-0.43439
20,Sotavento,0.05339,0.00773,0.01000,-0.45531
21,Sotavento,0.05339,0.00773,0.03000,-0.45689
22,Sotavento,0.05339,0.00773,0.05000,-0.46449
23,Sotavento,0.05339,0.00773,0.07000,-0.45761
24,Sotavento,0.05339,0.00773,0.09000,-0.43984
25,Sotavento,0.05339,0.00773,0.11000,-0.41477
26,Sotavento,0.05339,0.00773,0.13000,-0.38315
27,Sotavento,0.05339,0.00773,0.15000,-0.34984
28,Sotavento,0.05339,0.00773,0.17000,-0.32082
29,Sotavento,0.05339,0.00773,0.19000,-0.30169
30,Sotavento,0.05339,0.00773,0.21000,-0.29607
31,Sotavento,0.05339,0.00773,0.23000,-0.30481
32,Sotavento,0.05339,0.00773,0.25000,-0.32509
33,Sotavento,0.05339,0.00773,0.27000,-0.35324
34,Sotavento,0.05339,0.00773,0.29000,-0.38522
35,Sotavento,0.05339,0.00773,0.31000,-0.41550
36,Sotavento,0.05339,0.00773,0.33000,-0.43749
37,Sotavento,0.05339,0.00773,0.35000,-0.44580
38,Sotavento,0.05339,0.00773,0.37000,-0.43561
39,Sotavento,0.05339,0.00773,0.39000,-0.41032
40,Sotavento,0.04339,0.02505,0.01000,-0.44223
41,Sotavento,0.04339,0.02505,0.03000,-0.44563
42,Sotavento,0.04339,0.02505,0.05000,-0.45666
43,Sotavento,0.04339,0.02505,0.07000,-0.45565
44,Sotavento,0.04339,0.02505,0.09000,-0.44259
45,Sotavento,0.04339,0.02505,0.11000,-0.42207
46,Sotavento,0.04339,0.02505,0.13000,-0.39717
47,Sotavento,0.04339,0.02505,0.15000,-0.37142
48,Sotavento,0.04339,0.02505,0.17000,-0.34922
49,Sotavento,0.04339,0.02505,0.19000,-0.33460
50,Sotavento,0.04339,0.02505,0.21000,-0.33096
51,Sotavento,0.04339,0.02505,0.23000,-0.34009
52,Sotavento,0.04339,0.02505,0.25000,-0.35811
53,Sotavento,0.04339,0.02505,0.27000,-0.38151
54,Sotavento,0.04339,0.02505,0.29000,-0.40611
55,Sotavento,0.04339,0.02505,0.31000,-0.42730
56,Sotavento,0.04339,0.02505,0.33000,-0.43995
57,Sotavento,0.04339,0.02505,0.35000,-0.43901
58,Sotavento,0.04339,0.02505,0.37000,-0.42226
59,Sotavento,0.04339,0.02505,0.39000,-0.39772
60,Sotavento,0.03339,0.04237,0.01000,-0.42548
61,Sotavento,0.03339,0.04237,0.03000,-0.43570
62,Sotavento,0.03339,0.04237,0.05000,-0.44688
63,Sotavento,0.03339,0.04237,0.07000,-0.44879
64,Sotavento,0.03339,0.04237,0.09000,-0.43875
65,Sotavento,0.03339,0.04237,0.11000,-0.42078
66,Sotavento,0.03339,0.04237,0.13000,-0.39845
67,Sotavento,0.03339,0.04237,0.15000,-0.37560
68,Sotavento,0.03339,0.04237,0.17000,-0.35611
69,Sotavento,0.03339,0.04237,0.19000,-0.34359
70,Sotavento,0.03339,0.04237,0.21000,-0.34054
71,Sotavento,0.03339,0.04237,0.23000,-0.34788
72,Sotavento,0.03339,0.04237,0.25000,-0.36337
73,Sotavento,0.03339,0.04237,0.27000,-0.38375
74,Sotavento,0.03339,0.04237,0.29000,-0.40487
75,Sotavento,0.03339,0.04237,0.31000,-0.42208
76,Sotavento,0.03339,0.04237,0.33000,-0.43110
77,Sotavento,0.03339,0.04237,0.35000,-0.42768
78,Sotavento,0.03339,0.04237,0.37000,-0.41187
79,Sotavento,0.03339,0.04237,0.39000,-0.39190
80,Sotavento,0.02339,0.05969,0.01000,-0.40822
81,Sotavento,0.02339,0.05969,0.03000,-0.42775
82,Sotavento,0.02339,0.05969,0.05000,-0.43812
83,Sotavento,0.02339,0.05969,0.07000,-0.43793
84,Sotavento,0.02339,0.05969,0.09000,-0.42641
85,Sotavento,0.02339,0.05969,0.11000,-0.40644
86,Sotavento,0.02339,0.05969,0.13000,-0.38194
87,Sotavento,0.02339,0.05969,0.15000,-0.35710
88,Sotavento,0.02339,0.05969,0.17000,-0.33594
89,Sotavento,0.02339,0.05969,0.19000,-0.32192
90,Sotavento,0.02339,0.05969,0.21000,-0.31802
