probe,face,x,y,z,Cp
0,Sotavento,0.06285,0.01267,0.01000,-0.45662
1,Sotavento,0.06285,0.01267,0.03000,-0.47234
2,Sotavento,0.06285,0.01267,0.05000,-0.48310
3,Sotavento,0.06285,0.01267,0.07000,-0.46793
4,Sotavento,0.06285,0.01267,0.09000,-0.45693
5,Sotavento,0.06285,0.01267,0.11000,-0.44291
6,Sotavento,0.06285,0.01267,0.13000,-0.41347
7,Sotavento,0.06285,0.01267,0.15000,-0.38016
8,Sotavento,0.06285,0.01267,0.17000,-0.35168
9,Sotavento,0.06285,0.01267,0.19000,-0.33436
10,Sotavento,0.06285,0.01267,0.21000,-0.33160
11,Sotavento,0.06285,0.01267,0.23000,-0.34300
12,Sotavento,0.06285,0.01267,0.25000,-0.36583
13,Sotavento,0.06285,0.01267,0.27000,-0.39544
14,Sotavento,0.06285,0.01267,0.29000,-0.42703
15,Sotavento,0.06285,0.01267,0.31000,-0.45517
16,Sotavento,0.06285,0.01267,0.33000,-0.47491
17,Sotavento,0.06285,0.01267,0.35000,-0.48335
18,Sotavento,0.06285,0.01267,0.37000,-0.47558
19,Sotavento,0.06285,0.01267,0.39000,-0.46166
20,Sotavento,0.04752,0.02552,0.01000,-0.46299
21,Sotavento,0.04752,0.02552,0.03000,-0.47904
22,Sotavento,0.04752,0.02552,0.05000,-0.49381
23,Sotavento,0.04752,0.02552,0.07000,-0.48324
24,Sotavento,0.04752,0.02552,0.09000,-0.46402
25,Sotavento,0.04752,0.02552,0.11000,-0.44879
26,Sotavento,0.04752,0.02552,0.13000,-0.42698
27,Sotavento,0.04752,0.02552,0.15000,-0.40350
28,Sotavento,0.04752,0.02552,0.17000,-0.38373
29,Sotavento,0.04752,0.02552,0.19000,-0.37206
30,Sotavento,0.04752,0.02552,0.21000,-0.37113
31,Sotavento,0.04752,0.02552,0.23000,-0.38113
32,Sotavento,0.04752,0.02552,0.25000,-0.39949
33,Sotavento,0.04752,0.02552,0.27000,-0.42240
34,Sotavento,0.04752,0.02552,0.29000,-0.44542
35,Sotavento,0.04752,0.02552,0.31000,-0.46460
36,Sotavento,0.04752,0.02552,0.33000,-0.47664
37,Sotavento,0.04752,0.02552,0.35000,-0.47898
38,Sotavento,0.04752,0.02552,0.37000,-0.47122
39,Sotavento,0.04752,0.02552,0.39000,-0.45973
40,Sotavento,0.03220,0.03838,0.01000,-0.45911
41,Sotavento,0.03220,0.03838,0.03000,-0.47057
42,Sotavento,0.03220,0.03838,0.05000,-0.47831
43,Sotavento,0.03220,0.03838,0.07000,-0.47529
44,Sotavento,0.03220,0.03838,0.09000,-0.46208
45,Sotavento,0.03220,0.03838,0.11000,-0.44525
46,Sotavento,0.03220,0.03838,0.13000,-0.42479
47,Sotavento,0.03220,0.03838,0.15000,-0.40387
48,Sotavento,0.03220,0.03838,0.17000,-0.38672
49,Sotavento,0.03220,0.03838,0.19000,-0.37673
50,Sotavento,0.03220,0.03838,0.21000,-0.37599
51,Sotavento,0.03220,0.03838,0.23000,-0.38458
52,Sotavento,0.03220,0.03838,0.25000,-0.40059
53,Sotavento,0.03220,0.03838,0.27000,-0.42083
54,Sotavento,0.03220,0.03838,0.29000,-0.44127
55,Sotavento,0.03220,0.03838,0.31000,-0.45802
56,Sotavento,0.03220,0.03838,0.33000,-0.46837
57,Sotavento,0.03220,0.03838,0.35000,-0.47123
58,Sotavento,0.03220,0.03838,0.37000,-0.46695
59,Sotavento,0.03220,0.03838,0.39000,-0.46322
60,Sotavento,0.01688,0.05123,0.01000,-0.44553
61,Sotavento,0.01688,0.05123,0.03000,-0.45871
62,Sotavento,0.01688,0.05123,0.05000,-0.46479
63,Sotavento,0.01688,0.05123,0.07000,-0.46452
64,Sotavento,0.01688,0.05123,0.09000,-0.45304
65,Sotavento,0.01688,0.05123,0.11000,-0.43483
66,Sotavento,0.01688,0.05123,0.13000,-0.41286
67,Sotavento,0.01688,0.05123,0.15000,-0.39069
68,Sotavento,0.01688,0.05123,0.17000,-0.37236
69,Sotavento,0.01688,0.05123,0.19000,-0.36135
70,Sotavento,0.01688,0.05123,0.21000,-0.35992
71,Sotavento,0.01688,0.05123,0.23000,-0.36822
72,Sotavento,0.01688,0.05123,0.25000,-0.38411
73,Sotavento,0.01688,0.05123,0.27000,-0.40422
74,Sotavento,0.01688,0.05123,0.29000,-0.42473
75,Sotavento,0.01688,0.05123,0.31000,-0.44198
76,Sotavento,0.01688,0.05123,0.33000,-0.45405
77,Sotavento,0.01688,0.05123,0.35000,-0.45906
78,Sotavento,0.01688,0.05123,0.37000,-0.46122
79,Sotavento,0.01688,0.05123,0.39000,-0.46620
80,Sotavento,0.00156,0.06409,0.01000,-0.44003
81,Sotavento,0.00156,0.06409,0.03000,-0.45028
82,Sotavento,0.00156,0.06409,0.05000,-0.45845
83,Sotavento,0.00156,0.06409,0.07000,-0.45459
84,Sotavento,0.00156,0.06409,0.09000,-0.44180
85,Sotavento,0.00156,0.06409,0.11000,-0.42125
86,Sotavento,0.00156,0.06409,0.13000,-0.39669
87,Sotavento,0.00156,0.06409,0.15000,-0.37222
88,Sotavento,0.00156,0.06409,0.17000,-0.35189
89,Sotavento,0.00156,0.06409,0.19000,-0.33901
90,Sotavento,0.00156,0.06409,0.21000,-0.33656
91,Sotavento,0.00156,0.06409,0.23000,-0.34534
92,Sotavento,0.00156,0.06409,0.25000,-0.36249
93,Sotavento,0.00156,0.06409,0.27000,-0.38427
94,Sotavento,0.00156,0.06409,0.29000,-0.40668
95,Sotavento,0.00156,0.06409,0.31000,-0.42594
96,Sotavento,0.00156,0.06409,0.33000,-0.44196
97,Sotavento,0.00156,0.06409,0.35000,-0.45537
98,Sotavento,0.00156,0.06409,0.37000,-0.45652
99,Sotavento,0.00156,0.06409,0.39000,-0.45793
100,Barlovento,-0.00156,-0.06409,0.01000,-0.08597
101,Barlovento,-0.00156,-0.06409,0.03000,-0.12101
102,Barlovento,-0.00156,-0.06409,0.05000,-0.12413
103,Barlovento,-0.00156,-0.06409,0.07000,-0.09299
104,Barlovento,-0.00156,-0.06409,0.09000,-0.07886
105,Barlovento,-0.00156,-0.06409,0.11000,-0.06154
106,Barlovento,-0.00156,-0.06409,0.13000,-0.04247
107,Barlovento,-0.00156,-0.06409,0.15000,-0.02362
108,Barlovento,-0.00156,-0.06409,0.17000,-0.00671
109,Barlovento,-0.00156,-0.06409,0.19000,0.00668
110,Barlovento,-0.00156,-0.06409,0.21000,0.01520
111,Barlovento,-0.00156,-0.06409,0.23000,0.01848
112,Barlovento,-0.00156,-0.06409,0.25000,0.01787
113,Barlovento,-0.00156,-0.06409,0.27000,0.01505
114,Barlovento,-0.00156,-0.06409,0.29000,0.01168
115,Barlovento,-0.00156,-0.06409,0.31000,0.00938
116,Barlovento,-0.00156,-0.06409,0.33000,0.00921
117,Barlovento,-0.00156,-0.06409,0.35000,-0.01683
118,Barlovento,-0.00156,-0.06409,0.37000,-0.00822
119,Barlovento,-0.00156,-0.06409,0.39000,-0.02725
120,Barlovento,-0.01688,-0.05123,0.01000,0.11658
121,Barlovento,-0.01688,-0.05123,0.03000,0.09360
122,Barlovento,-0.01688,-0.05123,0.05000,0.09152
123,Barlovento,-0.01688,-0.05123,0.07000,0.10353
124,Barlovento,-0.01688,-0.05123,0.09000,0.12137
125,Barlovento,-0.01688,-0.05123,0.11000,0.14064
126,Barlovento,-0.01688,-0.05123,0.13000,0.16013
127,Barlovento,-0.01688,-0.05123,0.15000,0.17893
128,Barlovento,-0.01688,-0.05123,0.17000,0.19627
129,Barlovento,-0.01688,-0.05123,0.19000,0.21150
130,Barlovento,-0.01688,-0.05123,0.21000,0.22417
131,Barlovento,-0.01688,-0.05123,0.23000,0.23420
132,Barlovento,-0.01688,-0.05123,0.25000,0.24191
133,Barlovento,-0.01688,-0.05123,0.27000,0.24785
134,Barlovento,-0.01688,-0.05123,0.29000,0.25254
135,Barlovento,-0.01688,-0.05123,0.31000,0.25640
136,Barlovento,-0.01688,-0.05123,0.33000,0.25998
137,Barlovento,-0.01688,-0.05123,0.35000,0.27870
138,Barlovento,-0.01688,-0.05123,0.37000,0.27136
139,Barlovento,-0.01688,-0.05123,0.39000,0.17641
140,Barlovento,-0.03220,-0.03838,0.01000,0.21013
141,Barlovento,-0.03220,-0.03838,0.03000,0.18531
142,Barlovento,-0.03220,-0.03838,0.05000,0.19117
143,Barlovento,-0.03220,-0.03838,0.07000,0.21177
144,Barlovento,-0.03220,-0.03838,0.09000,0.23485
145,Barlovento,-0.03220,-0.03838,0.11000,0.25774
146,Barlovento,-0.03220,-0.03838,0.13000,0.28035
147,Barlovento,-0.03220,-0.03838,0.15000,0.30176
148,Barlovento,-0.03220,-0.03838,0.17000,0.32125
149,Barlovento,-0.03220,-0.03838,0.19000,0.33905
150,Barlovento,-0.03220,-0.03838,0.21000,0.35489
151,Barlovento,-0.03220,-0.03838,0.23000,0.36864
152,Barlovento,-0.03220,-0.03838,0.25000,0.38043
153,Barlovento,-0.03220,-0.03838,0.27000,0.39050
154,Barlovento,-0.03220,-0.03838,0.29000,0.39840
155,Barlovento,-0.03220,-0.03838,0.31000,0.40402
156,Barlovento,-0.03220,-0.03838,0.33000,0.40670
157,Barlovento,-0.03220,-0.03838,0.35000,0.40016
158,Barlovento,-0.03220,-0.03838,0.37000,0.37985
159,Barlovento,-0.03220,-0.03838,0.39000,0.22418
160,Barlovento,-0.04752,-0.02552,0.01000,0.27304
161,Barlovento,-0.04752,-0.02552,0.03000,0.24975
162,Barlovento,-0.04752,-0.02552,0.05000,0.27073
163,Barlovento,-0.04752,-0.02552,0.07000,0.30084
164,Barlovento,-0.04752,-0.02552,0.09000,0.33027
165,Barlovento,-0.04752,-0.02552,0.11000,0.35863
166,Barlovento,-0.04752,-0.02552,0.13000,0.38534
167,Barlovento,-0.04752,-0.02552,0.15000,0.41014
168,Barlovento,-0.04752,-0.02552,0.17000,0.43310
169,Barlovento,-0.04752,-0.02552,0.19000,0.45414
170,Barlovento,-0.04752,-0.02552,0.21000,0.47321
171,Barlovento,-0.04752,-0.02552,0.23000,0.49027
172,Barlovento,-0.04752,-0.02552,0.25000,0.50542
173,Barlovento,-0.04752,-0.02552,0.27000,0.51851
174,Barlovento,-0.04752,-0.02552,0.29000,0.52918
175,Barlovento,-0.04752,-0.02552,0.31000,0.53649
176,Barlovento,-0.04752,-0.02552,0.33000,0.53795
177,Barlovento,-0.04752,-0.02552,0.35000,0.52806
178,Barlovento,-0.04752,-0.02552,0.37000,0.48439
179,Barlovento,-0.04752,-0.02552,0.39000,0.28251
180,Barlovento,-0.06285,-0.01267,0.01000,0.30271
181,Barlovento,-0.06285,-0.01267,0.03000,0.30517
182,Barlovento,-0.06285,-0.01267,0.05000,0.34668
183,Barlovento,-0.06285,-0.01267,0.07000,0.39043
184,Barlovento,-0.06285,-0.01267,0.09000,0.42837
185,Barlovento,-0.06285,-0.01267,0.11000,0.46323
186,Barlovento,-0.06285,-0.01267,0.13000,0.49519
187,Barlovento,-0.06285,-0.01267,0.15000,0.52443
188,Barlovento,-0.06285,-0.01267,0.17000,0.55139
189,Barlovento,-0.06285,-0.01267,0.19000,0.57623
190,Barlovento,-0.06285,-0.01267,0.21000,0.59907
191,Barlovento,-0.06285,-0.01267,0.23000,0.61990
192,Barlovento,-0.06285,-0.01267,0.25000,0.63892
193,Barlovento,-0.06285,-0.01267,0.27000,0.65594
194,Barlovento,-0.06285,-0.01267,0.29000,0.67055
195,Barlovento,-0.06285,-0.01267,0.31000,0.68187
196,Barlovento,-0.06285,-0.01267,0.33000,0.68285
197,Barlovento,-0.06285,-0.01267,0.35000,0.67686
198,Barlovento,-0.06285,-0.01267,0.37000,0.63865
199,Barlovento,-0.06285,-0.01267,0.39000,0.44229
200,Lateral+,-0.06409,0.00156,0.01000,0.39626
201,Lateral+,-0.06409,0.00156,0.03000,0.41967
202,Lateral+,-0.06409,0.00156,0.05000,0.47841
203,Lateral+,-0.06409,0.00156,0.07000,0.53463
204,Lateral+,-0.06409,0.00156,0.09000,0.58509
205,Lateral+,-0.06409,0.00156,0.11000,0.63055
206,Lateral+,-0.06409,0.00156,0.13000,0.67173
207,Lateral+,-0.06409,0.00156,0.15000,0.70918
208,Lateral+,-0.06409,0.00156,0.17000,0.74365
209,Lateral+,-0.06409,0.00156,0.19000,0.77537
210,Lateral+,-0.06409,0.00156,0.21000,0.80452
211,Lateral+,-0.06409,0.00156,0.23000,0.83107
212,Lateral+,-0.06409,0.00156,0.25000,0.85556
213,Lateral+,-0.06409,0.00156,0.27000,0.87775
214,Lateral+,-0.06409,0.00156,0.29000,0.89721
215,Lateral+,-0.06409,0.00156,0.31000,0.91302
216,Lateral+,-0.06409,0.00156,0.33000,0.92414
217,Lateral+,-0.06409,0.00156,0.35000,0.92169
218,Lateral+,-0.06409,0.00156,0.37000,0.88958
219,Lateral+,-0.06409,0.00156,0.39000,0.70914
220,Lateral+,-0.05123,0.01688,0.01000,0.39576
221,Lateral+,-0.05123,0.01688,0.03000,0.36250
222,Lateral+,-0.05123,0.01688,0.05000,0.39671
223,Lateral+,-0.05123,0.01688,0.07000,0.43804
224,Lateral+,-0.05123,0.01688,0.09000,0.47844
225,Lateral+,-0.05123,0.01688,0.11000,0.51644
226,Lateral+,-0.05123,0.01688,0.13000,0.55157
227,Lateral+,-0.05123,0.01688,0.15000,0.58378
228,Lateral+,-0.05123,0.01688,0.17000,0.61344
229,Lateral+,-0.05123,0.01688,0.19000,0.64064
230,Lateral+,-0.05123,0.01688,0.21000,0.66544
231,Lateral+,-0.05123,0.01688,0.23000,0.68781
232,Lateral+,-0.05123,0.01688,0.25000,0.70798
233,Lateral+,-0.05123,0.01688,0.27000,0.72568
234,Lateral+,-0.05123,0.01688,0.29000,0.74044
235,Lateral+,-0.05123,0.01688,0.31000,0.75119
236,Lateral+,-0.05123,0.01688,0.33000,0.75608
237,Lateral+,-0.05123,0.01688,0.35000,0.74551
238,Lateral+,-0.05123,0.01688,0.37000,0.70495
239,Lateral+,-0.05123,0.01688,0.39000,0.51009
240,Lateral+,-0.03838,0.03220,0.01000,0.33690
241,Lateral+,-0.03838,0.03220,0.03000,0.29623
242,Lateral+,-0.03838,0.03220,0.05000,0.31240
243,Lateral+,-0.03838,0.03220,0.07000,0.34348
244,Lateral+,-0.03838,0.03220,0.09000,0.37616
245,Lateral+,-0.03838,0.03220,0.11000,0.40825
246,Lateral+,-0.03838,0.03220,0.13000,0.43821
247,Lateral+,-0.03838,0.03220,0.15000,0.46597
248,Lateral+,-0.03838,0.03220,0.17000,0.49185
249,Lateral+,-0.03838,0.03220,0.19000,0.51533
250,Lateral+,-0.03838,0.03220,0.21000,0.53639
251,Lateral+,-0.03838,0.03220,0.23000,0.55503
252,Lateral+,-0.03838,0.03220,0.25000,0.57141
253,Lateral+,-0.03838,0.03220,0.27000,0.58530
254,Lateral+,-0.03838,0.03220,0.29000,0.59667
255,Lateral+,-0.03838,0.03220,0.31000,0.60453
256,Lateral+,-0.03838,0.03220,0.33000,0.60717
257,Lateral+,-0.03838,0.03220,0.35000,0.60079
258,Lateral+,-0.03838,0.03220,0.37000,0.56856
259,Lateral+,-0.03838,0.03220,0.39000,0.40930
260,Lateral+,-0.02552,0.04752,0.01000,0.22673
261,Lateral+,-0.02552,0.04752,0.03000,0.18617
262,Lateral+,-0.02552,0.04752,0.05000,0.19505
263,Lateral+,-0.02552,0.04752,0.07000,0.22187
264,Lateral+,-0.02552,0.04752,0.09000,0.24941
265,Lateral+,-0.02552,0.04752,0.11000,0.27608
266,Lateral+,-0.02552,0.04752,0.13000,0.30164
267,Lateral+,-0.02552,0.04752,0.15000,0.32572
268,Lateral+,-0.02552,0.04752,0.17000,0.34788
269,Lateral+,-0.02552,0.04752,0.19000,0.36771
270,Lateral+,-0.02552,0.04752,0.21000,0.38482
271,Lateral+,-0.02552,0.04752,0.23000,0.39913
272,Lateral+,-0.02552,0.04752,0.25000,0.41091
273,Lateral+,-0.02552,0.04752,0.27000,0.42039
274,Lateral+,-0.02552,0.04752,0.29000,0.42768
275,Lateral+,-0.02552,0.04752,0.31000,0.43205
276,Lateral+,-0.02552,0.04752,0.33000,0.43232
277,Lateral+,-0.02552,0.04752,0.35000,0.43348
278,Lateral+,-0.02552,0.04752,0.37000,0.41895
279,Lateral+,-0.02552,0.04752,0.39000,0.29986
280,Lateral+,-0.01267,0.06285,0.01000,-0.00166
281,Lateral+,-0.01267,0.06285,0.03000,-0.04842
282,Lateral+,-0.01267,0.06285,0.05000,-0.04572
283,Lateral+,-0.01267,0.06285,0.07000,0.00189
284,Lateral+,-0.01267,0.06285,0.09000,0.02599
285,Lateral+,-0.01267,0.06285,0.11000,0.04778
286,Lateral+,-0.01267,0.06285,0.13000,0.06995
287,Lateral+,-0.01267,0.06285,0.15000,0.09148
288,Lateral+,-0.01267,0.06285,0.17000,0.11121
289,Lateral+,-0.01267,0.06285,0.19000,0.12756
