probe,face,x,y,z,Cp
0,Sotavento,0.05628,-0.03069,0.01000,-0.40371
1,Sotavento,0.05628,-0.03069,0.03000,-0.39989
2,Sotavento,0.05628,-0.03069,0.05000,-0.40405
3,Sotavento,0.05628,-0.03069,0.07000,-0.41200
4,Sotavento,0.05628,-0.03069,0.09000,-0.40207
5,Sotavento,0.05628,-0.03069,0.11000,-0.37660
6,Sotavento,0.05628,-0.03069,0.13000,-0.34481
7,Sotavento,0.05628,-0.03069,0.15000,-0.31341
8,Sotavento,0.05628,-0.03069,0.17000,-0.28649
9,Sotavento,0.05628,-0.03069,0.19000,-0.26712
10,Sotavento,0.05628,-0.03069,0.21000,-0.25691
11,Sotavento,0.05628,-0.03069,0.23000,-0.25650
12,Sotavento,0.05628,-0.03069,0.25000,-0.26502
13,Sotavento,0.05628,-0.03069,0.27000,-0.28079
14,Sotavento,0.05628,-0.03069,0.29000,-0.30160
15,Sotavento,0.05628,-0.03069,0.31000,-0.32510
16,Sotavento,0.05628,-0.03069,0.33000,-0.34965
17,Sotavento,0.05628,-0.03069,0.35000,-0.37238
18,Sotavento,0.05628,-0.03069,0.37000,-0.38928
19,Sotavento,0.05628,-0.03069,0.39000,-0.40003
20,Sotavento,0.05281,-0.01100,0.01000,-0.40624
21,Sotavento,0.05281,-0.01100,0.03000,-0.40582
22,Sotavento,0.05281,-0.01100,0.05000,-0.39691
23,Sotavento,0.05281,-0.01100,0.07000,-0.39691
24,Sotavento,0.05281,-0.01100,0.09000,-0.38843
25,Sotavento,0.05281,-0.01100,0.11000,-0.36590
26,Sotavento,0.05281,-0.01100,0.13000,-0.33824
27,Sotavento,0.05281,-0.01100,0.15000,-0.31120
28,Sotavento,0.05281,-0.01100,0.17000,-0.28805
29,Sotavento,0.05281,-0.01100,0.19000,-0.27123
30,Sotavento,0.05281,-0.01100,0.21000,-0.26285
31,Sotavento,0.05281,-0.01100,0.23000,-0.26389
32,Sotavento,0.05281,-0.01100,0.25000,-0.27372
33,Sotavento,0.05281,-0.01100,0.27000,-0.29062
34,Sotavento,0.05281,-0.01100,0.29000,-0.31271
35,Sotavento,0.05281,-0.01100,0.31000,-0.33706
36,Sotavento,0.05281,-0.01100,0.33000,-0.36034
37,Sotavento,0.05281,-0.01100,0.35000,-0.37986
38,Sotavento,0.05281,-0.01100,0.37000,-0.39184
39,Sotavento,0.05281,-0.01100,0.39000,-0.40367
40,Sotavento,0.04934,0.00870,0.01000,-0.38529
41,Sotavento,0.04934,0.00870,0.03000,-0.36292
42,Sotavento,0.04934,0.00870,0.05000,-0.38278
43,Sotavento,0.04934,0.00870,0.07000,-0.38686
