probe,face,x,y,z,Cp
0,Sotavento,0.06076,-0.02045,0.01000,-0.42605
1,Sotavento,0.06076,-0.02045,0.03000,-0.42405
2,Sotavento,0.06076,-0.02045,0.05000,-0.41643
3,Sotavento,0.06076,-0.02045,0.07000,-0.42636
4,Sotavento,0.06076,-0.02045,0.09000,-0.41918
5,Sotavento,0.06076,-0.02045,0.11000,-0.38811
6,Sotavento,0.06076,-0.02045,0.13000,-0.34792
7,Sotavento,0.06076,-0.02045,0.15000,-0.30882
8,Sotavento,0.06076,-0.02045,0.17000,-0.27793
9,Sotavento,0.06076,-0.02045,0.19000,-0.25827
10,Sotavento,0.06076,-0.02045,0.21000,-0.25124
11,Sotavento,0.06076,-0.02045,0.23000,-0.25641
12,Sotavento,0.06076,-0.02045,0.25000,-0.27226
13,Sotavento,0.06076,-0.02045,0.27000,-0.29610
14,Sotavento,0.06076,-0.02045,0.29000,-0.32556
15,Sotavento,0.06076,-0.02045,0.31000,-0.35810
16,Sotavento,0.06076,-0.02045,0.33000,-0.39116
17,Sotavento,0.06076,-0.02045,0.35000,-0.41832
18,Sotavento,0.06076,-0.02045,0.37000,-0.43505
19,Sotavento,0.06076,-0.02045,0.39000,-0.44048
20,Sotavento,0.05392,-0.00166,0.01000,-0.42497
21,Sotavento,0.05392,-0.00166,0.03000,-0.42665
22,Sotavento,0.05392,-0.00166,0.05000,-0.41777
23,Sotavento,0.05392,-0.00166,0.07000,-0.41627
24,Sotavento,0.05392,-0.00166,0.09000,-0.40783
25,Sotavento,0.05392,-0.00166,0.11000,-0.38501
26,Sotavento,0.05392,-0.00166,0.13000,-0.35433
27,Sotavento,0.05392,-0.00166,0.15000,-0.32403
28,Sotavento,0.05392,-0.00166,0.17000,-0.29957
29,Sotavento,0.05392,-0.00166,0.19000,-0.28434
30,Sotavento,0.05392,-0.00166,0.21000,-0.28005
31,Sotavento,0.05392,-0.00166,0.23000,-0.28682
32,Sotavento,0.05392,-0.00166,0.25000,-0.30326
33,Sotavento,0.05392,-0.00166,0.27000,-0.32698
34,Sotavento,0.05392,-0.00166,0.29000,-0.35512
35,Sotavento,0.05392,-0.00166,0.31000,-0.38340
36,Sotavento,0.05392,-0.00166,0.33000,-0.40704
37,Sotavento,0.05392,-0.00166,0.35000,-0.42073
38,Sotavento,0.05392,-0.00166,0.37000,-0.41983
39,Sotavento,0.05392,-0.00166,0.39000,-0.40400
40,Sotavento,0.04708,0.01714,0.01000,-0.41881
41,Sotavento,0.04708,0.01714,0.03000,-0.42159
42,Sotavento,0.04708,0.01714,0.05000,-0.42351
43,Sotavento,0.04708,0.01714,0.07000,-0.41702
44,Sotavento,0.04708,0.01714,0.09000,-0.40670
45,Sotavento,0.04708,0.01714,0.11000,-0.38988
46,Sotavento,0.04708,0.01714,0.13000,-0.36816
47,Sotavento,0.04708,0.01714,0.15000,-0.34615
48,Sotavento,0.04708,0.01714,0.17000,-0.32791
49,Sotavento,0.04708,0.01714,0.19000,-0.31654
50,Sotavento,0.04708,0.01714,0.21000,-0.31443
51,Sotavento,0.04708,0.01714,0.23000,-0.32214
52,Sotavento,0.04708,0.01714,0.25000,-0.33761
53,Sotavento,0.04708,0.01714,0.27000,-0.35806
54,Sotavento,0.04708,0.01714,0.29000,-0.38019
55,Sotavento,0.04708,0.01714,0.31000,-0.40008
56,Sotavento,0.04708,0.01714,0.33000,-0.41377
57,Sotavento,0.04708,0.01714,0.35000,-0.41651
58,Sotavento,0.04708,0.01714,0.37000,-0.40332
59,Sotavento,0.04708,0.01714,0.39000,-0.38225
60,Sotavento,0.04024,0.03593,0.01000,-0.41119
61,Sotavento,0.04024,0.03593,0.03000,-0.41648
62,Sotavento,0.04024,0.03593,0.05000,-0.42209
63,Sotavento,0.04024,0.03593,0.07000,-0.41904
64,Sotavento,0.04024,0.03593,0.09000,-0.41043
65,Sotavento,0.04024,0.03593,0.11000,-0.39686
66,Sotavento,0.04024,0.03593,0.13000,-0.37951
67,Sotavento,0.04024,0.03593,0.15000,-0.36150
68,Sotavento,0.04024,0.03593,0.17000,-0.34620
69,Sotavento,0.04024,0.03593,0.19000,-0.33649
70,Sotavento,0.04024,0.03593,0.21000,-0.33466
71,Sotavento,0.04024,0.03593,0.23000,-0.34094
72,Sotavento,0.04024,0.03593,0.25000,-0.35366
73,Sotavento,0.04024,0.03593,0.27000,-0.37035
74,Sotavento,0.04024,0.03593,0.29000,-0.38781
75,Sotavento,0.04024,0.03593,0.31000,-0.40243
76,Sotavento,0.04024,0.03593,0.33000,-0.41060
77,Sotavento,0.04024,0.03593,0.35000,-0.40463
78,Sotavento,0.04024,0.03593,0.37000,-0.39067
79,Sotavento,0.04024,0.03593,0.39000,-0.37316
80,Sotavento,0.03340,0.05472,0.01000,-0.40399
81,Sotavento,0.03340,0.05472,0.03000,-0.41296
82,Sotavento,0.03340,0.05472,0.05000,-0.41599
83,Sotavento,0.03340,0.05472,0.07000,-0.41387
84,Sotavento,0.03340,0.05472,0.09000,-0.40424
85,Sotavento,0.03340,0.05472,0.11000,-0.38857
86,Sotavento,0.03340,0.05472,0.13000,-0.36923
87,Sotavento,0.03340,0.05472,0.15000,-0.34955
88,Sotavento,0.03340,0.05472,0.17000,-0.33287
89,Sotavento,0.03340,0.05472,0.19000,-0.32202
90,Sotavento,0.03340,0.05472,0.21000,-0.31924
91,Sotavento,0.03340,0.05472,0.23000,-0.32527
92,Sotavento,0.03340,0.05472,0.25000,-0.33809
93,Sotavento,0.03340,0.05472,0.27000,-0.35481
94,Sotavento,0.03340,0.05472,0.29000,-0.37229
95,Sotavento,0.03340,0.05472,0.31000,-0.38642
96,Sotavento,0.03340,0.05472,0.33000,-0.39551
97,Sotavento,0.03340,0.05472,0.35000,-0.39381
98,Sotavento,0.03340,0.05472,0.37000,-0.38414
99,Sotavento,0.03340,0.05472,0.39000,-0.36935
100,Barlovento,-0.03340,-0.05472,0.01000,0.16756
101,Barlovento,-0.03340,-0.05472,0.03000,0.13445
102,Barlovento,-0.03340,-0.05472,0.05000,0.16984
103,Barlovento,-0.03340,-0.05472,0.07000,0.19789
104,Barlovento,-0.03340,-0.05472,0.09000,0.22410
105,Barlovento,-0.03340,-0.05472,0.11000,0.25088
106,Barlovento,-0.03340,-0.05472,0.13000,0.27609
107,Barlovento,-0.03340,-0.05472,0.15000,0.29984
108,Barlovento,-0.03340,-0.05472,0.17000,0.32261
109,Barlovento,-0.03340,-0.05472,0.19000,0.34291
110,Barlovento,-0.03340,-0.05472,0.21000,0.36036
111,Barlovento,-0.03340,-0.05472,0.23000,0.37482
112,Barlovento,-0.03340,-0.05472,0.25000,0.38692
113,Barlovento,-0.03340,-0.05472,0.27000,0.39730
114,Barlovento,-0.03340,-0.05472,0.29000,0.40716
115,Barlovento,-0.03340,-0.05472,0.31000,0.41787
116,Barlovento,-0.03340,-0.05472,0.33000,0.43831
117,Barlovento,-0.03340,-0.05472,0.35000,0.43870
118,Barlovento,-0.03340,-0.05472,0.37000,0.44576
119,Barlovento,-0.03340,-0.05472,0.39000,0.39581
120,Barlovento,-0.04024,-0.03593,0.01000,0.41852
121,Barlovento,-0.04024,-0.03593,0.03000,0.35832
122,Barlovento,-0.04024,-0.03593,0.05000,0.38531
123,Barlovento,-0.04024,-0.03593,0.07000,0.42730
124,Barlovento,-0.04024,-0.03593,0.09000,0.46714
125,Barlovento,-0.04024,-0.03593,0.11000,0.50474
126,Barlovento,-0.04024,-0.03593,0.13000,0.53922
127,Barlovento,-0.04024,-0.03593,0.15000,0.57071
128,Barlovento,-0.04024,-0.03593,0.17000,0.60043
129,Barlovento,-0.04024,-0.03593,0.19000,0.62758
130,Barlovento,-0.04024,-0.03593,0.21000,0.65243
131,Barlovento,-0.04024,-0.03593,0.23000,0.67501
132,Barlovento,-0.04024,-0.03593,0.25000,0.69572
133,Barlovento,-0.04024,-0.03593,0.27000,0.71452
134,Barlovento,-0.04024,-0.03593,0.29000,0.73180
135,Barlovento,-0.04024,-0.03593,0.31000,0.74704
136,Barlovento,-0.04024,-0.03593,0.33000,0.75941
137,Barlovento,-0.04024,-0.03593,0.35000,0.76808
138,Barlovento,-0.04024,-0.03593,0.37000,0.74585
139,Barlovento,-0.04024,-0.03593,0.39000,0.58271
140,Barlovento,-0.04708,-0.01714,0.01000,0.50243
141,Barlovento,-0.04708,-0.01714,0.03000,0.43767
142,Barlovento,-0.04708,-0.01714,0.05000,0.46964
143,Barlovento,-0.04708,-0.01714,0.07000,0.51711
144,Barlovento,-0.04708,-0.01714,0.09000,0.56434
145,Barlovento,-0.04708,-0.01714,0.11000,0.60827
146,Barlovento,-0.04708,-0.01714,0.13000,0.64838
147,Barlovento,-0.04708,-0.01714,0.15000,0.68487
148,Barlovento,-0.04708,-0.01714,0.17000,0.71853
149,Barlovento,-0.04708,-0.01714,0.19000,0.74956
150,Barlovento,-0.04708,-0.01714,0.21000,0.77822
151,Barlovento,-0.04708,-0.01714,0.23000,0.80456
152,Barlovento,-0.04708,-0.01714,0.25000,0.82897
153,Barlovento,-0.04708,-0.01714,0.27000,0.85129
154,Barlovento,-0.04708,-0.01714,0.29000,0.87121
155,Barlovento,-0.04708,-0.01714,0.31000,0.88775
156,Barlovento,-0.04708,-0.01714,0.33000,0.89890
157,Barlovento,-0.04708,-0.01714,0.35000,0.89832
158,Barlovento,-0.04708,-0.01714,0.37000,0.85881
159,Barlovento,-0.04708,-0.01714,0.39000,0.65725
160,Barlovento,-0.05392,0.00166,0.01000,0.50567
161,Barlovento,-0.05392,0.00166,0.03000,0.45023
162,Barlovento,-0.05392,0.00166,0.05000,0.49698
163,Barlovento,-0.05392,0.00166,0.07000,0.55420
164,Barlovento,-0.05392,0.00166,0.09000,0.60687
165,Barlovento,-0.05392,0.00166,0.11000,0.65417
166,Barlovento,-0.05392,0.00166,0.13000,0.69681
167,Barlovento,-0.05392,0.00166,0.15000,0.73553
168,Barlovento,-0.05392,0.00166,0.17000,0.77110
169,Barlovento,-0.05392,0.00166,0.19000,0.80405
170,Barlovento,-0.05392,0.00166,0.21000,0.83463
171,Barlovento,-0.05392,0.00166,0.23000,0.86299
172,Barlovento,-0.05392,0.00166,0.25000,0.88938
173,Barlovento,-0.05392,0.00166,0.27000,0.91376
174,Barlovento,-0.05392,0.00166,0.29000,0.93581
175,Barlovento,-0.05392,0.00166,0.31000,0.95456
176,Barlovento,-0.05392,0.00166,0.33000,0.96804
177,Barlovento,-0.05392,0.00166,0.35000,0.96996
178,Barlovento,-0.05392,0.00166,0.37000,0.93721
179,Barlovento,-0.05392,0.00166,0.39000,0.73653
180,Barlovento,-0.06076,0.02045,0.01000,0.34696
181,Barlovento,-0.06076,0.02045,0.03000,0.35625
182,Barlovento,-0.06076,0.02045,0.05000,0.43244
183,Barlovento,-0.06076,0.02045,0.07000,0.49728
184,Barlovento,-0.06076,0.02045,0.09000,0.55054
185,Barlovento,-0.06076,0.02045,0.11000,0.59436
186,Barlovento,-0.06076,0.02045,0.13000,0.63318
187,Barlovento,-0.06076,0.02045,0.15000,0.66844
188,Barlovento,-0.06076,0.02045,0.17000,0.70101
189,Barlovento,-0.06076,0.02045,0.19000,0.73141
190,Barlovento,-0.06076,0.02045,0.21000,0.76006
191,Barlovento,-0.06076,0.02045,0.23000,0.78729
192,Barlovento,-0.06076,0.02045,0.25000,0.81326
193,Barlovento,-0.06076,0.02045,0.27000,0.83820
194,Barlovento,-0.06076,0.02045,0.29000,0.86206
195,Barlovento,-0.06076,0.02045,0.31000,0.88416
196,Barlovento,-0.06076,0.02045,0.33000,0.90053
197,Barlovento,-0.06076,0.02045,0.35000,0.91632
198,Barlovento,-0.06076,0.02045,0.37000,0.92100
199,Barlovento,-0.06076,0.02045,0.39000,0.81767
200,Lateral+,-0.05472,0.03340,0.01000,-0.37972
201,Lateral+,-0.05472,0.03340,0.03000,-0.35881
202,Lateral+,-0.05472,0.03340,0.05000,-0.39261
203,Lateral+,-0.05472,0.03340,0.07000,-0.45061
204,Lateral+,-0.05472,0.03340,0.09000,-0.49333
205,Lateral+,-0.05472,0.03340,0.11000,-0.52596
206,Lateral+,-0.05472,0.03340,0.13000,-0.54991
207,Lateral+,-0.05472,0.03340,0.15000,-0.56788
208,Lateral+,-0.05472,0.03340,0.17000,-0.58197
209,Lateral+,-0.05472,0.03340,0.19000,-0.59375
210,Lateral+,-0.05472,0.03340,0.21000,-0.60382
211,Lateral+,-0.05472,0.03340,0.23000,-0.61274
212,Lateral+,-0.05472,0.03340,0.25000,-0.62014
213,Lateral+,-0.05472,0.03340,0.27000,-0.62561
214,Lateral+,-0.05472,0.03340,0.29000,-0.63067
215,Lateral+,-0.05472,0.03340,0.31000,-0.63902
216,Lateral+,-0.05472,0.03340,0.33000,-0.62638
217,Lateral+,-0.05472,0.03340,0.35000,-0.62931
218,Lateral+,-0.05472,0.03340,0.37000,-0.62229
219,Lateral+,-0.05472,0.03340,0.39000,-0.64609
220,Lateral+,-0.03593,0.04024,0.01000,-0.18613
221,Lateral+,-0.03593,0.04024,0.03000,-0.26611
222,Lateral+,-0.03593,0.04024,0.05000,-0.29574
223,Lateral+,-0.03593,0.04024,0.07000,-0.31660
224,Lateral+,-0.03593,0.04024,0.09000,-0.33544
225,Lateral+,-0.03593,0.04024,0.11000,-0.34995
226,Lateral+,-0.03593,0.04024,0.13000,-0.36119
227,Lateral+,-0.03593,0.04024,0.15000,-0.36983
228,Lateral+,-0.03593,0.04024,0.17000,-0.37729
229,Lateral+,-0.03593,0.04024,0.19000,-0.38315
230,Lateral+,-0.03593,0.04024,0.21000,-0.38761
231,Lateral+,-0.03593,0.04024,0.23000,-0.39031
232,Lateral+,-0.03593,0.04024,0.25000,-0.39136
233,Lateral+,-0.03593,0.04024,0.27000,-0.38991
234,Lateral+,-0.03593,0.04024,0.29000,-0.38286
235,Lateral+,-0.03593,0.04024,0.31000,-0.36535
236,Lateral+,-0.03593,0.04024,0.33000,-0.35707
237,Lateral+,-0.03593,0.04024,0.35000,-0.32075
238,Lateral+,-0.03593,0.04024,0.37000,-0.26048
239,Lateral+,-0.03593,0.04024,0.39000,-0.18434
240,Lateral+,-0.01714,0.04708,0.01000,-0.11078
241,Lateral+,-0.01714,0.04708,0.03000,-0.16552
242,Lateral+,-0.01714,0.04708,0.05000,-0.18178
243,Lateral+,-0.01714,0.04708,0.07000,-0.18018
244,Lateral+,-0.01714,0.04708,0.09000,-0.17153
245,Lateral+,-0.01714,0.04708,0.11000,-0.16218
246,Lateral+,-0.01714,0.04708,0.13000,-0.15429
247,Lateral+,-0.01714,0.04708,0.15000,-0.14808
248,Lateral+,-0.01714,0.04708,0.17000,-0.14336
249,Lateral+,-0.01714,0.04708,0.19000,-0.13954
250,Lateral+,-0.01714,0.04708,0.21000,-0.13638
251,Lateral+,-0.01714,0.04708,0.23000,-0.13346
252,Lateral+,-0.01714,0.04708,0.25000,-0.13012
253,Lateral+,-0.01714,0.04708,0.27000,-0.12517
254,Lateral+,-0.01714,0.04708,0.29000,-0.11694
255,Lateral+,-0.01714,0.04708,0.31000,-0.10485
256,Lateral+,-0.01714,0.04708,0.33000,-0.08983
257,Lateral+,-0.01714,0.04708,0.35000,-0.07179
258,Lateral+,-0.01714,0.04708,0.37000,-0.05136
259,Lateral+,-0.01714,0.04708,0.39000,-0.11499
260,Lateral+,0.00166,0.05392,0.01000,-0.13250
261,Lateral+,0.00166,0.05392,0.03000,-0.16853
262,Lateral+,0.00166,0.05392,0.05000,-0.17416
263,Lateral+,0.00166,0.05392,0.07000,-0.16860
264,Lateral+,0.00166,0.05392,0.09000,-0.15802
265,Lateral+,0.00166,0.05392,0.11000,-0.14725
266,Lateral+,0.00166,0.05392,0.13000,-0.13707
267,Lateral+,0.00166,0.05392,0.15000,-0.12784
268,Lateral+,0.00166,0.05392,0.17000,-0.11978
269,Lateral+,0.00166,0.05392,0.19000,-0.11337
270,Lateral+,0.00166,0.05392,0.21000,-0.10885
271,Lateral+,0.00166,0.05392,0.23000,-0.10621
272,Lateral+,0.00166,0.05392,0.25000,-0.10475
273,Lateral+,0.00166,0.05392,0.27000,-0.10366
274,Lateral+,0.00166,0.05392,0.29000,-0.10221
275,Lateral+,0.00166,0.05392,0.31000,-0.10003
276,Lateral+,0.00166,0.05392,0.33000,-0.09731
277,Lateral+,0.00166,0.05392,0.35000,-0.09148
278,Lateral+,0.00166,0.05392,0.37000,-0.08031
279,Lateral+,0.00166,0.05392,0.39000,-0.10850
280,Lateral+,0.02045,0.06076,0.01000,-0.23295
281,Lateral+,0.02045,0.06076,0.03000,-0.26359
282,Lateral+,0.02045,0.06076,0.05000,-0.26935
283,Lateral+,0.02045,0.06076,0.07000,-0.25528
284,Lateral+,0.02045,0.06076,0.09000,-0.24360
285,Lateral+,0.02045,0.06076,0.11000,-0.23201
286,Lateral+,0.02045,0.06076,0.13000,-0.21937
287,Lateral+,0.02045,0.06076,0.15000,-0.20696
288,Lateral+,0.02045,0.06076,0.17000,-0.19615
289,Lateral+,0.02045,0.06076,0.19000,-0.18836
290,Lateral+,0.02045,0.06076,0.21000,-0.18456
291,Lateral+,0.02045,0.06076,0.23000,-0.18519
292,Lateral+,0.02045,0.06076,0.25000,-0.18910
