probe,face,x,y,z,Cp
0,Sotavento,0.06398,-0.00403,0.01000,-0.46159
1,Sotavento,0.06398,-0.00403,0.03000,-0.48134
2,Sotavento,0.06398,-0.00403,0.05000,-0.48272
3,Sotavento,0.06398,-0.00403,0.07000,-0.46342
4,Sotavento,0.06398,-0.00403,0.09000,-0.44872
5,Sotavento,0.06398,-0.00403,0.11000,-0.41437
6,Sotavento,0.06398,-0.00403,0.13000,-0.37036
7,Sotavento,0.06398,-0.00403,0.15000,-0.32596
8,Sotavento,0.06398,-0.00403,0.17000,-0.28943
9,Sotavento,0.06398,-0.00403,0.19000,-0.26706
10,Sotavento,0.06398,-0.00403,0.21000,-0.26220
11,Sotavento,0.06398,-0.00403,0.23000,-0.27418
12,Sotavento,0.06398,-0.00403,0.25000,-0.29974
13,Sotavento,0.06398,-0.00403,0.27000,-0.33344
14,Sotavento,0.06398,-0.00403,0.29000,-0.37137
15,Sotavento,0.06398,-0.00403,0.31000,-0.40973
16,Sotavento,0.06398,-0.00403,0.33000,-0.44299
17,Sotavento,0.06398,-0.00403,0.35000,-0.46215
18,Sotavento,0.06398,-0.00403,0.37000,-0.46016
19,Sotavento,0.06398,-0.00403,0.39000,-0.43943
20,Sotavento,0.05251,0.01235,0.01000,-0.46350
21,Sotavento,0.05251,0.01235,0.03000,-0.47291
22,Sotavento,0.05251,0.01235,0.05000,-0.47737
23,Sotavento,0.05251,0.01235,0.07000,-0.46851
24,Sotavento,0.05251,0.01235,0.09000,-0.45280
25,Sotavento,0.05251,0.01235,0.11000,-0.42510
26,Sotavento,0.05251,0.01235,0.13000,-0.39134
27,Sotavento,0.05251,0.01235,0.15000,-0.35758
28,Sotavento,0.05251,0.01235,0.17000,-0.32975
29,Sotavento,0.05251,0.01235,0.19000,-0.31287
30,Sotavento,0.05251,0.01235,0.21000,-0.31015
31,Sotavento,0.05251,0.01235,0.23000,-0.32182
32,Sotavento,0.05251,0.01235,0.25000,-0.34454
33,Sotavento,0.05251,0.01235,0.27000,-0.37391
34,Sotavento,0.05251,0.01235,0.29000,-0.40495
35,Sotavento,0.05251,0.01235,0.31000,-0.43252
36,Sotavento,0.05251,0.01235,0.33000,-0.45125
37,Sotavento,0.05251,0.01235,0.35000,-0.45562
38,Sotavento,0.05251,0.01235,0.37000,-0.44166
39,Sotavento,0.05251,0.01235,0.39000,-0.41800
40,Sotavento,0.04104,0.02874,0.01000,-0.44537
41,Sotavento,0.04104,0.02874,0.03000,-0.44866
42,Sotavento,0.04104,0.02874,0.05000,-0.46079
43,Sotavento,0.04104,0.02874,0.07000,-0.46158
44,Sotavento,0.04104,0.02874,0.09000,-0.44955
45,Sotavento,0.04104,0.02874,0.11000,-0.42833
46,Sotavento,0.04104,0.02874,0.13000,-0.40240
47,Sotavento,0.04104,0.02874,0.15000,-0.37647
48,Sotavento,0.04104,0.02874,0.17000,-0.35527
49,Sotavento,0.04104,0.02874,0.19000,-0.34256
50,Sotavento,0.04104,0.02874,0.21000,-0.34145
51,Sotavento,0.04104,0.02874,0.23000,-0.35239
52,Sotavento,0.04104,0.02874,0.25000,-0.37168
