probe,face,x,y,z,Cp
0,Sotavento,0.06231,-0.01508,0.01000,-0.44737
1,Sotavento,0.06231,-0.01508,0.03000,-0.45264
2,Sotavento,0.06231,-0.01508,0.05000,-0.45144
3,Sotavento,0.06231,-0.01508,0.07000,-0.44077
4,Sotavento,0.06231,-0.01508,0.09000,-0.42597
5,Sotavento,0.06231,-0.01508,0.11000,-0.39663
6,Sotavento,0.06231,-0.01508,0.13000,-0.35651
7,Sotavento,0.06231,-0.01508,0.15000,-0.31534
8,Sotavento,0.06231,-0.01508,0.17000,-0.28092
9,Sotavento,0.06231,-0.01508,0.19000,-0.25842
10,Sotavento,0.06231,-0.01508,0.21000,-0.25077
11,Sotavento,0.06231,-0.01508,0.23000,-0.25800
12,Sotavento,0.06231,-0.01508,0.25000,-0.27783
13,Sotavento,0.06231,-0.01508,0.27000,-0.30759
14,Sotavento,0.06231,-0.01508,0.29000,-0.34146
15,Sotavento,0.06231,-0.01508,0.31000,-0.37748
16,Sotavento,0.06231,-0.01508,0.33000,-0.41241
17,Sotavento,0.06231,-0.01508,0.35000,-0.43922
18,Sotavento,0.06231,-0.01508,0.37000,-0.44856
19,Sotavento,0.06231,-0.01508,0.39000,-0.43794
20,Sotavento,0.05386,0.00305,0.01000,-0.44230
21,Sotavento,0.05386,0.00305,0.03000,-0.44616
22,Sotavento,0.05386,0.00305,0.05000,-0.45361
23,Sotavento,0.05386,0.00305,0.07000,-0.44375
24,Sotavento,0.05386,0.00305,0.09000,-0.42521
25,Sotavento,0.05386,0.00305,0.11000,-0.40022
26,Sotavento,0.05386,0.00305,0.13000,-0.36918
27,Sotavento,0.05386,0.00305,0.15000,-0.33727
28,Sotavento,0.05386,0.00305,0.17000,-0.31015
29,Sotavento,0.05386,0.00305,0.19000,-0.29252
30,Sotavento,0.05386,0.00305,0.21000,-0.28750
31,Sotavento,0.05386,0.00305,0.23000,-0.29567
32,Sotavento,0.05386,0.00305,0.25000,-0.31468
33,Sotavento,0.05386,0.00305,0.27000,-0.34182
34,Sotavento,0.05386,0.00305,0.29000,-0.37271
35,Sotavento,0.05386,0.00305,0.31000,-0.40210
36,Sotavento,0.05386,0.00305,0.33000,-0.42525
37,Sotavento,0.05386,0.00305,0.35000,-0.43595
38,Sotavento,0.05386,0.00305,0.37000,-0.42812
39,Sotavento,0.05386,0.00305,0.39000,-0.40574
40,Sotavento,0.04541,0.02117,0.01000,-0.43539
41,Sotavento,0.04541,0.02117,0.03000,-0.43666
42,Sotavento,0.04541,0.02117,0.05000,-0.44795
43,Sotavento,0.04541,0.02117,0.07000,-0.44445
44,Sotavento,0.04541,0.02117,0.09000,-0.42945
45,Sotavento,0.04541,0.02117,0.11000,-0.40879
46,Sotavento,0.04541,0.02117,0.13000,-0.38481
47,Sotavento,0.04541,0.02117,0.15000,-0.36044
48,Sotavento,0.04541,0.02117,0.17000,-0.33963
49,Sotavento,0.04541,0.02117,0.19000,-0.32620
50,Sotavento,0.04541,0.02117,0.21000,-0.32345
51,Sotavento,0.04541,0.02117,0.23000,-0.33227
52,Sotavento,0.04541,0.02117,0.25000,-0.34957
53,Sotavento,0.04541,0.02117,0.27000,-0.37206
54,Sotavento,0.04541,0.02117,0.29000,-0.39608
55,Sotavento,0.04541,0.02117,0.31000,-0.41707
56,Sotavento,0.04541,0.02117,0.33000,-0.42989
57,Sotavento,0.04541,0.02117,0.35000,-0.42933
58,Sotavento,0.04541,0.02117,0.37000,-0.41089
59,Sotavento,0.04541,0.02117,0.39000,-0.39172
60,Sotavento,0.03695,0.03930,0.01000,-0.42178
61,Sotavento,0.03695,0.03930,0.03000,-0.43046
