probe,face,x,y,z,Cp
0,Sotavento,0.06371,0.00714,0.01000,-0.43694
1,Sotavento,0.06371,0.00714,0.03000,-0.44610
2,Sotavento,0.06371,0.00714,0.05000,-0.43202
3,Sotavento,0.06371,0.00714,0.07000,-0.41976
4,Sotavento,0.06371,0.00714,0.09000,-0.40568
5,Sotavento,0.06371,0.00714,0.11000,-0.38152
6,Sotavento,0.06371,0.00714,0.13000,-0.35130
7,Sotavento,0.06371,0.00714,0.15000,-0.32480
8,Sotavento,0.06371,0.00714,0.17000,-0.30777
9,Sotavento,0.06371,0.00714,0.19000,-0.30275
10,Sotavento,0.06371,0.00714,0.21000,-0.30969
11,Sotavento,0.06371,0.00714,0.23000,-0.32627
12,Sotavento,0.06371,0.00714,0.25000,-0.34987
13,Sotavento,0.06371,0.00714,0.27000,-0.37773
14,Sotavento,0.06371,0.00714,0.29000,-0.40637
15,Sotavento,0.06371,0.00714,0.31000,-0.43210
16,Sotavento,0.06371,0.00714,0.33000,-0.45100
17,Sotavento,0.06371,0.00714,0.35000,-0.45979
18,Sotavento,0.06371,0.00714,0.37000,-0.45537
19,Sotavento,0.06371,0.00714,0.39000,-0.44341
20,Sotavento,0.04957,0.02128,0.01000,-0.44503
21,Sotavento,0.04957,0.02128,0.03000,-0.44968
22,Sotavento,0.04957,0.02128,0.05000,-0.44413
23,Sotavento,0.04957,0.02128,0.07000,-0.43102
24,Sotavento,0.04957,0.02128,0.09000,-0.42129
25,Sotavento,0.04957,0.02128,0.11000,-0.40503
26,Sotavento,0.04957,0.02128,0.13000,-0.38431
27,Sotavento,0.04957,0.02128,0.15000,-0.36532
28,Sotavento,0.04957,0.02128,0.17000,-0.35284
29,Sotavento,0.04957,0.02128,0.19000,-0.34959
30,Sotavento,0.04957,0.02128,0.21000,-0.35592
31,Sotavento,0.04957,0.02128,0.23000,-0.36983
32,Sotavento,0.04957,0.02128,0.25000,-0.38875
33,Sotavento,0.04957,0.02128,0.27000,-0.40985
34,Sotavento,0.04957,0.02128,0.29000,-0.43007
35,Sotavento,0.04957,0.02128,0.31000,-0.44649
36,Sotavento,0.04957,0.02128,0.33000,-0.45648
37,Sotavento,0.04957,0.02128,0.35000,-0.45775
38,Sotavento,0.04957,0.02128,0.37000,-0.44909
39,Sotavento,0.04957,0.02128,0.39000,-0.43630
40,Sotavento,0.03543,0.03543,0.01000,-0.45088
41,Sotavento,0.03543,0.03543,0.03000,-0.46301
42,Sotavento,0.03543,0.03543,0.05000,-0.43261
43,Sotavento,0.03543,0.03543,0.07000,-0.42628
44,Sotavento,0.03543,0.03543,0.09000,-0.41926
45,Sotavento,0.03543,0.03543,0.11000,-0.40632
46,Sotavento,0.03543,0.03543,0.13000,-0.39045
47,Sotavento,0.03543,0.03543,0.15000,-0.37595
48,Sotavento,0.03543,0.03543,0.17000,-0.36638
49,Sotavento,0.03543,0.03543,0.19000,-0.36402
50,Sotavento,0.03543,0.03543,0.21000,-0.36950
51,Sotavento,0.03543,0.03543,0.23000,-0.38137
52,Sotavento,0.03543,0.03543,0.25000,-0.39747
53,Sotavento,0.03543,0.03543,0.27000,-0.41524
54,Sotavento,0.03543,0.03543,0.29000,-0.43197
55,Sotavento,0.03543,0.03543,0.31000,-0.44495
56,Sotavento,0.03543,0.03543,0.33000,-0.45186
57,Sotavento,0.03543,0.03543,0.35000,-0.45099
58,Sotavento,0.03543,0.03543,0.37000,-0.44200
59,Sotavento,0.03543,0.03543,0.39000,-0.42916
60,Sotavento,0.02128,0.04957,0.01000,-0.42549
61,Sotavento,0.02128,0.04957,0.03000,-0.43373
62,Sotavento,0.02128,0.04957,0.05000,-0.42439
63,Sotavento,0.02128,0.04957,0.07000,-0.41747
64,Sotavento,0.02128,0.04957,0.09000,-0.40727
65,Sotavento,0.02128,0.04957,0.11000,-0.39323
66,Sotavento,0.02128,0.04957,0.13000,-0.37748
67,Sotavento,0.02128,0.04957,0.15000,-0.36341
68,Sotavento,0.02128,0.04957,0.17000,-0.35417
69,Sotavento,0.02128,0.04957,0.19000,-0.35192
70,Sotavento,0.02128,0.04957,0.21000,-0.35728
71,Sotavento,0.02128,0.04957,0.23000,-0.36906
72,Sotavento,0.02128,0.04957,0.25000,-0.38519
73,Sotavento,0.02128,0.04957,0.27000,-0.40311
