probe,face,x,y,z,Cp
0,Sotavento,0.05875,-0.02567,0.01000,-0.40972
1,Sotavento,0.05875,-0.02567,0.03000,-0.40870
2,Sotavento,0.05875,-0.02567,0.05000,-0.41135
3,Sotavento,0.05875,-0.02567,0.07000,-0.41769
4,Sotavento,0.05875,-0.02567,0.09000,-0.40285
5,Sotavento,0.05875,-0.02567,0.11000,-0.37142
6,Sotavento,0.05875,-0.02567,0.13000,-0.33560
7,Sotavento,0.05875,-0.02567,0.15000,-0.30218
8,Sotavento,0.05875,-0.02567,0.17000,-0.27645
9,Sotavento,0.05875,-0.02567,0.19000,-0.26045
10,Sotavento,0.05875,-0.02567,0.21000,-0.25462
11,Sotavento,0.05875,-0.02567,0.23000,-0.25864
12,Sotavento,0.05875,-0.02567,0.25000,-0.27098
13,Sotavento,0.05875,-0.02567,0.27000,-0.28976
14,Sotavento,0.05875,-0.02567,0.29000,-0.31306
15,Sotavento,0.05875,-0.02567,0.31000,-0.33958
16,Sotavento,0.05875,-0.02567,0.33000,-0.36824
17,Sotavento,0.05875,-0.02567,0.35000,-0.39470
18,Sotavento,0.05875,-0.02567,0.37000,-0.41392
19,Sotavento,0.05875,-0.02567,0.39000,-0.42699
20,Sotavento,0.05357,-0.00635,0.01000,-0.41558
21,Sotavento,0.05357,-0.00635,0.03000,-0.39384
22,Sotavento,0.05357,-0.00635,0.05000,-0.39665
23,Sotavento,0.05357,-0.00635,0.07000,-0.39965
24,Sotavento,0.05357,-0.00635,0.09000,-0.38805
25,Sotavento,0.05357,-0.00635,0.11000,-0.36420
26,Sotavento,0.05357,-0.00635,0.13000,-0.33634
27,Sotavento,0.05357,-0.00635,0.15000,-0.31056
28,Sotavento,0.05357,-0.00635,0.17000,-0.29053
29,Sotavento,0.05357,-0.00635,0.19000,-0.27829
30,Sotavento,0.05357,-0.00635,0.21000,-0.27525
31,Sotavento,0.05357,-0.00635,0.23000,-0.28123
32,Sotavento,0.05357,-0.00635,0.25000,-0.29482
33,Sotavento,0.05357,-0.00635,0.27000,-0.31412
34,Sotavento,0.05357,-0.00635,0.29000,-0.33719
35,Sotavento,0.05357,-0.00635,0.31000,-0.36175
