mu,wid,glob,zona,fuera,mejora_glob_pct
15.0000,5.0000,0.0149,0.0168,0.0113,-0.0001
15.0000,8.0000,0.0149,0.0168,0.0113,0.0054
15.0000,12.0000,0.0149,0.0168,0.0113,0.0161
20.0000,5.0000,0.0149,0.0168,0.0113,0.0000
20.0000,8.0000,0.0149,0.0168,0.0113,0.0008
20.0000,12.0000,0.0149,0.0168,0.0113,0.0259
25.0000,5.0000,0.0149,0.0168,0.0113,0.0000
25.0000,8.0000,0.0150,0.0168,0.0113,-0.1812
25.0000,12.0000,0.0149,0.0168,0.0113,0.0030
